combined_id,slab_number,batch_number,material_name,colour_family,size_mm,thickness_mm,finish,location,received_date,notes
8016,8016,,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
00828/6217,00828,6217,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
00921/6217,00921,6217,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
00925/6217,00925,6217,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
00938/6217,00938,6217,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
00946/6217,00946,6217,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
00947/6217,00947,6217,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
00952/6217,00952,6217,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
00974/6217,00974,6217,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
01345/6233,01345,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01490/6233,01490,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01491/6233,01491,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01492/6233,01492,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01493/6233,01493,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01494/6233,01494,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01495/6233,01495,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01497/6233,01497,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01498/6233,01498,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01499/6233,01499,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01502/6233,01502,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01503/6233,01503,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01504/6233,01504,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01505/6233,01505,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01506/6233,01506,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01508/6233,01508,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01509/6233,01509,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01510/6233,01510,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01512/6233,01512,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01515/6233,01515,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01517/6233,01517,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01518/6233,01518,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01520/6233,01520,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01521/6233,01521,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01522/6233,01522,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01524/6233,01524,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01526/6233,01526,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01526/6233,01526,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01527/6233,01527,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01529/623,01529,623,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
02275/6264,02275,6264,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
02278/6264,02278,6264,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
02289//6264,02289,6264,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
02302/6264,02302,6264,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
02311/6264,02311,6264,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
02313/6264,02313,6264,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
13576/5977,13576,5977,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16275/6077,16275,6077,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16559/6099,16559,6099,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16560/6099,16560,6099,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16561/6099,16561,6099,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16562/6099,16562,6099,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16566/6099,16566,6099,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16568/6099,16568,6099,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
20014/5417,20014,5417,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
17346/3963,17346,3963,Bianco Carrara Jumbo,,3200x1600,20,,Bellagio Yard,,
17354/3963,17354,3963,Bianco Carrara Jumbo,,3150x1600,20,,Bellagio Yard,,
4787/5906,4787,5906,Bianco Carrara Jumbo,,3200x1600,20,,Bellagio Yard,,
4871/5906,4871,5906,Bianco Carrara Jumbo,,3200x1600,20,,Bellagio Yard,,
4876/5906,4876,5906,Bianco Carrara Jumbo,,3200x1600,20,,Bellagio Yard,,
4877/5906,4877,5906,Bianco Carrara Jumbo,,3200x1600,20,,Bellagio Yard,,
